ds,period,segment,value
2018-07-19,Actual,Vip,20824.65001
2018-07-20,Actual,Vip,14212.97
2018-07-21,Actual,Vip,9929.25998
2018-07-22,Actual,Vip,12678.14002
2018-07-23,Actual,Vip,19327.75
2018-07-24,Actual,Vip,17204.22
2018-07-25,Actual,Vip,15402.75
2018-07-26,Actual,Vip,18691.41
2018-07-27,Actual,Vip,10207.27
2018-07-28,Actual,Vip,16205.72999
2018-07-29,Actual,Vip,17079.22
2018-07-30,Actual,Vip,17071.170000000002
2018-07-31,Actual,Vip,19947.17
2018-08-01,Actual,Vip,20400.24999
2018-08-02,Actual,Vip,19743.71
2018-08-03,Actual,Vip,22676.05001
2018-08-04,Actual,Vip,17956.01
2018-08-05,Actual,Vip,19076.19
2018-08-06,Actual,Vip,25780.06
2018-08-07,Actual,Vip,22844.3
2018-08-08,Actual,Vip,25080.02999
2018-08-09,Actual,Vip,18212.01
2018-08-10,Actual,Vip,17334.16
2018-08-11,Actual,Vip,8112.86
2018-08-12,Actual,Vip,11265.289999999999
2018-08-13,Actual,Vip,21256.02
2018-08-14,Actual,Vip,18666.25
2018-08-15,Actual,Vip,27044.52999
2018-08-16,Actual,Vip,14988.25
2018-08-17,Actual,Vip,12816.28
2018-08-18,Actual,Vip,13387.22
2018-08-19,Actual,Vip,8968.57001
2018-08-20,Actual,Vip,11306.59
2018-08-21,Actual,Vip,11410.68
2018-08-22,Actual,Vip,7547.33
2018-08-23,Actual,Vip,7904.91
2018-08-24,Actual,Vip,3806.89
2018-08-25,Actual,Vip,6368.34
2018-08-26,Actual,Vip,4645.64
2018-08-27,Actual,Vip,1774.43
2018-08-28,Actual,Vip,902.14
2018-08-29,Actual,Vip,497.25
2018-08-30,Forecast,Vip,11825.343070335055
2018-08-31,Forecast,Vip,11074.992915256142
2018-09-01,Forecast,Vip,9898.098191540916
2018-09-02,Forecast,Vip,10310.514131456403
2018-09-03,Forecast,Vip,12736.553253633463
2018-09-04,Forecast,Vip,12795.648739814527
2018-09-05,Forecast,Vip,12807.833778813529
2018-09-06,Forecast,Vip,12713.68888889406
2018-09-07,Forecast,Vip,12070.437575386713
2018-09-08,Forecast,Vip,10983.83182889302
2018-09-09,Forecast,Vip,11470.654862609354
2018-09-10,Forecast,Vip,13956.36165615475
2018-09-11,Forecast,Vip,14061.673443050213
2018-09-12,Forecast,Vip,14107.988861476682
2018-09-13,Forecast,Vip,14037.266126436865
2018-09-14,Forecast,Vip,13408.058741542192
2018-09-15,Forecast,Vip,12327.348165610094
2018-09-16,Forecast,Vip,12813.002434345077
2018-09-17,Forecast,Vip,15291.382552292635
2018-09-18,Forecast,Vip,15383.913652425072
2018-09-19,Forecast,Vip,15412.48409522667
2018-09-20,Forecast,Vip,15319.326902651519
2018-09-21,Forecast,Vip,14663.065674213774
2018-09-22,Forecast,Vip,13550.567641133228
2018-09-23,Forecast,Vip,13999.431743722584
2018-09-24,Forecast,Vip,16435.63212003309
2018-09-25,Forecast,Vip,16480.13231745964
2018-09-26,Forecast,Vip,16454.33151629935
2018-09-27,Forecast,Vip,16299.9951483843
2018-09-28,Forecast,Vip,15575.349987058062
